sku,product_name,category,supplier,warehouse,quantity_in_stock,reorder_level,unit_cost,selling_price,last_restock_date,expiry_date,shelf_life_days,barcode,is_perishable,storage_temp,dead_column
SKU-64046,Groundnut Oil,Staples,Honeywell,PHC Dockyard,801,229,2069.16,3059.77,21-01-2023,2025-09-16,572,,Yes,Frozen,
SKU-25367,Indomie Carton,Cereals,PZ Cussons,Lagos Apapa,4475,159,3105.15,,09-11-2023,2025-08-04,516,1347536000877,0,Chilled,
SKU-98440,Sugar 1kg,,Chi Ltd,PHC Dockyard,3824,34,1413.81,1376.24,29-07-2023,2025-01-19,320,8286776437665,No,Ambient,
SKU-43331,Indomie Carton,Beverages,PZ Cussons,Lagos Apapa,1094,84,6490.72,3461.13,19-04-2023,2025-06-20,579,4981003772453,yes,Ambient,
SKU-56740,Indomie Carton,Cereals,Chi Ltd,Abuja Gwagwa,281,69,3754.41,19505.14,14-08-2023,2025-02-17,277,6382356474242,No,,
SKU-34206,Sugar 1kg,Cereals,Honeywell,Abuja Gwagwa,4855,134,751.98,1407.67,10-06-2023,2024-11-05,49,1550957971199,0,,
SKU-38912,Garri 10kg,Beverages,PZ Cussons,Kano Industrial,1419,415,1390.46,8266.38,01-09-2023,2025-07-20,20,4116413120141,Yes,,
SKU-65000,Semovita 5kg,Cereals,Honeywell,PHC Dockyard,64,144,1042.1,1955.06,24-10-2023,2025-01-20,516,6166443854337,0,Frozen,
SKU-61177,Tomato Paste,,Honeywell,PHC Dockyard,4636,403,2317.76,736.29,19-02-2023,2024-03-20,456,7982927622523,1,Frozen,
SKU-63435,Milk Tin,Staples,Chi Ltd,Kano Industrial,79,385,1686.89,10802.36,10-08-2023,2024-06-21,702,,Yes,Frozen,
SKU-68479,Garri 10kg,Staples,PZ Cussons,Kano Industrial,4718,232,1745.49,11917.08,20-10-2023,2025-01-15,102,8886874393938,0,AMBIENT,
SKU-37334,Sugar 1kg,Staples,Dangote Flour,PHC Dockyard,1141,113,2927.52,6498.45,29-06-2023,2025-06-23,390,9696595248671,yes,AMBIENT,
SKU-29291,Tomato Paste,Staples,Nestle Nigeria,Lagos Apapa,4422,28,2283.61,4633.5,16-07-2023,2025-09-25,80,7045932999783,yes,ambient,
SKU-94177,Semovita 5kg,,Chi Ltd,Lagos Apapa,2505,128,1264.6,6831.19,08-05-2023,2025-06-24,95,2556795696684,yes,Chilled,
SKU-20466,Milk Tin,Cereals,Innoson Motors,Abuja Gwagwa,1220,453,7172.02,1798.22,31-08-2023,2024-04-19,297,4639043065878,yes,ambient,
SKU-98218,Garri 10kg,Condiments,Chi Ltd,PHC Dockyard,1744,230,318.23,976.39,28-09-2023,2024-01-06,493,6327271123945,0,Chilled,
SKU-90781,Palm Oil 3.8L,Cereals,Nestle Nigeria,Lagos Apapa,2544,207,1616.22,2387.96,30-12-2023,2025-01-13,638,2847746703270,0,ambient,
SKU-92758,Indomie Carton,Cereals,Dangote Flour,PHC Dockyard,1726,42,4221.27,17011.97,14-03-2023,2025-07-27,39,6215232217308,0,AMBIENT,
SKU-46706,Garri 10kg,Beverages,Dangote Flour,PHC Dockyard,1684,426,4476.81,77879.23,14-10-2023,2024-11-05,29,1363407712572,No,AMBIENT,
SKU-69350,Indomie Carton,,Dangote Flour,Kano Industrial,1680,302,1468.12,1674.17,10-06-2023,2024-01-30,292,6166687431768,0,AMBIENT,
SKU-17443,Rice 50kg,Staples,Honeywell,PHC Dockyard,252,104,2425.25,7323.09,22-06-2023,2025-03-30,82,8608061394593,Yes,Frozen,
SKU-76758,Milk Tin,Beverages,Innoson Motors,Lagos Apapa,4593,33,638.02,1518.12,30-08-2023,2024-11-06,622,7088408855049,1,ambient,
SKU-22017,Rice 50kg,,PZ Cussons,PHC Dockyard,3522,67,9992.34,10924.65,17-02-2023,2025-12-11,85,4266832362676,No,AMBIENT,
SKU-88751,Rice 50kg,Condiments,Dangote Flour,Lagos Apapa,2284,449,2628.69,17489.1,28-05-2023,2025-01-18,727,6204259536681,yes,Ambient,
